artist,title,description,curator,bandcamp link,soundcloud private share link
Anáhuac,Y_y,"""This trio, composed of Juan García (double bass), Ignaz Schick (turntable, sampler, electronics) and Chris Cogburn (electronic, percussion), has been using non-idiomatic improvisation since 2016 to propose a new way in which the audience can approach the concept of sound as an art form. That this album bears the word “ascua” (ember) as its title is quite appropriate, since both of its tracks seem to grow as more elements are thrown into them, just as if it were a sonic wood fire; there’s a hissing, static effect that persists throughout the album -like that of a dusty vinyl record- that effectively emulates the sound of something being slowly consumed by a small fire (as we can appreciate on “scoria”) or it might as well represent a liquid reaching its boiling point, as illustrated on “sudar” climax. This time, however, Anáhuac has found a way to use less elements, and the results are far more great, as every nuance and texture is more noticeable; this helps create a deeper sense of immersion. Each member’s contributions are minimal, but vital. This is not a demonstration of virtuosity or manual dexterity, nor it is a relentless attack on the senses: the purpose is not to trace complex melodic or harmonic contours, nor the careful and methodical confection of typical rhythmic patterns, but a fusion in favor of texture and the exploration of the timbral possibilities each element involved has to offer, while maintaining a sense of balance and direction."" - Densidad25
Ignaz Schick, Chris Cogburn, Juan Garcia",Astral Editions,https://astralanahuac.bandcamp.com/album/y-y,https://soundcloud.com/user-861231864/sets/anahuac-y_y/s-ErWlEfVVcJh
"Threadbare (Jason Stein, Ben Cruz, Emerson Hunt)",Silver Dollar,"""Their debut album, Silver Dollar, is technically free jazz; but as the album unfolds, it’s easy to hear a strong affinity for ‘70s rock bands like Led Zeppelin, and jazz-rock hybrids like the Mahavishnu Orchestra and Soft Machine. The songs begin delicately, often with one instrument, and gather steam as they go, rising to volcanic crescendos before settling into dense, mesmerizing grooves. On “Threadbare,” in particular, Stein opens the track by seemingly blowing into the clarinet without a reed which, when combined with Hunton’s irregular drum pattern and Cruz’s eerie guitar chords, generates feelings of pending doom. At the four-minute mark, the instrumentalists fall into a Latin rhythm that never quite syncs up; but the track thrives even if the timing is slightly off. Compare that with “24 Mesh Veils” and “Funny Thing Is”: Neither song really takes shape at all. The former slowly trudges along, carried by its murky mix of clarinet and guitar. The latter feels nimble, a hard bop track with light drum taps and bright chords that grow more frenetic by the minute."" - Marcus J Moore, Bandcamp Daily",No Business,https://nobusinessrecords.bandcamp.com/album/threadbare-silver-dollar,https://soundcloud.com/user-861231864/sets/threadbare-silver-dollar/s-O91TIFgaLIh
Mockūnas / Sakata / Yoshihide / Umezu / Koketsu / Hayashi,Luidas Mockūnas In Residency at Bitches Brew,"""Bitches Brew is the club, not the sound of the music – a night spot in Yokohama where European reedman Liudas Mockunas improvised these performances in the company of a range of different Japanese players! The lineup shifts with each track, as do the horns handled by Mockunas – who blows tenor and soprano sax – plus a very cool ""water prepared soprano sax"" – in the company of Akira Sakata on clarinet and alto, Masayo Koketsu on alto, Eiichi Hayashi on alto, Yoshihide Otomo on guitar, and Kazutoki Umezu on bass clarinet, alto, and soprano! All tracks are nice and long, and filled with the sort of sharp reed interplay you'd know from both the music of Mockunas or Sakata – on titles that include ""Brown Line"", ""Green Line"", ""Red Line"", ""Blue Line"", and ""Yellow Line"" - Dusty Groove",No Business,https://nobusinessrecords.bandcamp.com/album/liudas-mock-nas-in-residency-at-bitches-brew,https://soundcloud.com/user-861231864/sets/mockunas-sakata-yoshihide-umezu-koketsu-hayashi-in-residency-at-bitches-brew/s-QEVPFZiUCnv
Andrew Lamb / Tom Abbs / Michael Wimberly / Guillermo E. Brown,Rhapsody in Black,"""The music of Rhapsody in Black has a distinctive character: it speaks of gentleness, humility, artfulness and dignified cultural embrace. Sax and flute player, Baba Andrew Lamb wastes no time in manifesting the aforementioned qualities in the opening page of the liner notes. The title of the album addresses a celebration of Black Heritage. The first percussion sounds heard are unavoidably spare and soft, but “initiate” (cf. the title of the first track,“Initiation”) a series of beautifully executed discrete strokes on the bass strings by Lamb's decade long collaborator Tom Abbs. The atmosphere built is environmental, say of the jungle, bearing some kind of tribal significance, haunting yells as testimony. Lambs’ clarinet induces an unique sound aura of calling forth spiritual power that pervades the entire album. The bass creates strong arco and pizzicato voices within the group throughout the recording and seems just as prominent instrumentally as the reeds are. Abbs also sputters and rips short glissandos through the tuba to change up the bass colors. But Lamb sings the most intricate songs; he repeats a phrase, rarely arpeggiates and sculpts sturdy and erect melodies, most often in the same gesture on any instrument he plays whether it is the clarinet, the tenor, metal or wooden flute. The percussionists, Michael Wimberly and Guillermo E. Brown, are integral to the group’s musical process. Lamb describes the percussionists' interaction: ""They play together at the same time or accompany each other taking turns."" The drummers commit to holding up the rhythmic content with undying and varying persistence: with light-handedness on cymbals, snare, woodblocks or bells. The pair keeps the music tight, manages its direction and seals its reverence."" --2012 Lyn Horton ",No Business,https://nobusinessrecords.bandcamp.com/album/rhapsody-in-black,https://soundcloud.com/user-861231864/sets/andrew-lamb-rhapsody-in-black/s-Mgd1sgdP7wV
Detail (Frode Gjerstad / Johnny Dyani / John Stevens),Day Two,"""Sequenced into two LP-side sized pieces, the disc documents a classic extended example of the trio’s egalitarian ethos. Stevens never overshadows his colleagues and the communication lines remain open even when one or more of the players opts for silent listening over sound-driven input. Gjerstad opens on intentionally furtive soprano, tracing melodic figures against the massive throb of Dyani’s strings and the steady tidal tumble of Stevens’ sticks. The speed increases incrementally with tension building organically apace. There’s a stretch near the end of the first piece that dips dangerously close to longueurs where Gjerstad’s tenor appears briefly bereft of directional purpose, but his partners swiftly swoop in to shore the gap with a shared focus. The B-Side develops more deliberately while exuding equal heat."" - Derek Taylor, Dusted",No Business,https://nobusinessrecords.bandcamp.com/album/day-two,https://soundcloud.com/user-861231864/sets/detail-gjerstad-dyani-stevens-day-two/s-BleBUP3XumR
Sabu Toyozumi / Mats Gustafsson,Hokusai,"""Hokusai is available in LP with three lengthy tracks or CD with the inclusion of an additional solo performance by Gustafsson and Toyozumi. The three duos presented open with ""Sunflower,"" a piece that enters stealthily enough with barely perceptible baritone saxophone breath and minimal percussive pulse. The spell is broken by the cluck and pop of Gustafsson's saxophone and his vocalizations. Toyozumi follows with his stop-start attack which converts into a jagged blast of energy. The pair work a quiet/loud/quiet approach to great effect, drawing you in then jolting you out. ""Woman With A Cat"" finds Gustafsson hoisting both fluteophone and flute. The interaction rotates around the music's tension and release of energy, Toyozumi as tour director here. The music next presents a solo by each performer. Gustafsson returns to the baritone saxophone, applying minimalist sounds incorporating breathy passages, pops, cluck and his vocalizations. Toyozumi's solo relies on space, utilizing quiet as much as pulse here. The pair reunite for the 20+ minute ""For Ever-Advancing Artistry."" Their music finds a meeting of the minds here, with any hesitation that might have been perceived on the previous interactions dissolved. The finale is a sweat drenched, leave-it-all-on-the- bandstand improvisation."" - Mark Corroto, All About Jazz",No Business,https://nobusinessrecords.bandcamp.com/album/hokusai,https://soundcloud.com/user-861231864/sets/sabu-toyozumi-mats-gustafsson-hokusai/s-MUyb3bnmNPD
Susan Alcorn / Leila Bordreuil / Ingrid Laubrock,Bird Meets Wire,"This is the first recording by pedal steel prodigy Susan Alcorn, saxophonist Ingrid Laubrock, and noise cellist Leila Bordreuil. The result is an unexpected mix of freely improvised Americana.",Relative Pitch,https://relativepitchrecords.bandcamp.com/album/bird-meets-wire,https://soundcloud.com/user-861231864/sets/alcorn-bordreuil-laubrock-bird-meets-wire/s-TDTmzF8cHMm
Magda Mayas' Filamental,Confluence,"Magda Mayas composed this piece for an octet comprised of a who's who of the avant-garde. The score consists of 12 photos taken over an hour or so, observing the merging waters of the Rhône and the Arve rivers, the artificial wall dividing them, the earthy, blue and green colors blending. There are as many defining differences as similarities, depending on what one pays attention to but after a while the differences become apparent. A variety of angles, hues, light, excerpts, focusing on one or the other river or on the in-between areas. The score offers the possibility to focus on tiny details, transitional areas, or to stay in one area for a long time over the course of a concert.",Relative Pitch,https://relativepitchrecords.bandcamp.com/album/confluence,https://soundcloud.com/user-861231864/magda-mayas-filamental-confluence/s-qwbeBSxA2Sx
Zeena Parkins / Mette Rasmussen / Ryan Sawyer,Glass Triangle,"""Parkins’ remarkable, and ever-inventive spectrum of sounds, rarely associated with a conventional harp, is at the center of the intense dynamics of this meeting. Rasmussen suggests the urgent, sharp and ecstatic edge of this trio, always pushing forward, while Sawyer adds like-minded frantic, fast-shifting and fragmented rhythmic patterns, but it is Parkins who cements the syntax of this trio, with her heavily-processed and effects-laden electric harp, but insists on a democratic, conversational interplay. Parkins cleverly crisscrosses the high-octane attacks of Rasmussen and Sawyer on the opening “Begiunners, begges, beattle, belt, believers”, sounding like a twisted electric guitar; she intensifies the mysterious, ritualist atmosphere of “Not Bygone, Just Biggone” with eerie, ambient sounds; and she anchors the nervous energy of Rasmussen and Sawyer on “Flod of Trees” with a storm of alien noises."" - Eyal Hareuveni, Free Jazz Blog",Relative Pitch,https://relativepitchrecords.bandcamp.com/album/glass-triangle,https://soundcloud.com/user-861231864/sets/zeena-parkins-mette-rasmussen-ryan-sawyer-glass-triangle/s-8kicfqEkY14
Two Much: Reut Regev & Igal Foni,Never Enough,"After over two decades of musical collaboration and shared life, we are happy to finally present our first duo release. Recorded in intimate studio settings right before the pandemic, and then amended over the lockdown in our home studio. Music is what brought us together in the first place, and it remains central in our shared life. We hope you enjoy our musical moments.",Relative Pitch,https://relativepitchrecords.bandcamp.com/album/never-enough,https://soundcloud.com/user-861231864/sets/two-much-reut-regev-igal-foni-never-enough/s-O572COtdlBj
Keir Neuringer / Shayna Dulberger / Julius Masri,Dromedaries II,"""Dromedaries II presents four improvisations moving between 10 and 13 minutes. Opening improvisation ‘Both’ starts from a theme played by the bassist and repeated over. Drummer Masri joins by playing maniacal shifting patterns and on top Neuringer plays extended lines that quickly become increasingly intense. In the second part, the drummer is in the forefront with sequences of repeated patterns that gradually change in interaction with the bass. Near the end the sax returns once more, staying in the background. ‘Rifts’ starts with a rhythmic pattern by drums and bass. Neuringer joins with his penetrating and slightly dissonant sound. He has his very own distinct and conjuring tone. Drumming by Masri is impressive. He plays his patterns in a non-jazz way influenced by ethnic music, that invites Neuringer to play his inspired lines. ‘Ether’ starts with a very free and energetic dialogue of drums and bass. After the sax joins it develops into very jumpy improvisation. Very wild. In contrast, the closing improvisation ‘Thereafter’ is a more modest one. It is built again on ethnic-inspired percussive patterns that propel the improvisation forward. A strong statement by a trio searching and finding its own voice."" Dolf Mulder - Vital Weekly",Relative Pitch,https://relativepitchrecords.bandcamp.com/album/dromedaries-ii,https://soundcloud.com/user-861231864/sets/keir-neuringer-shayna-dulberger-julius-masri-dromedaries-ii/s-r1OegC5YXOW
Wadada Leo Smith / Douglas R. Ewart / Mike Reed,Sun Beans of Shimmering Light,"""The album’s opener, “Constellations And Conjunctional Spaces” sets the tone; Smith and Ewart’s playing melds seamlessly, while Reed’s flourishes add tasteful rhythmic and tonal accents. On “Super Moon Rising,” Smith’s bright tone and Reed’s playing are particularly impressive, providing a dynamic and ever-shifting bed of percussion for Smith and Ewart to play both in and around. “Unknown Forces” begins by showcasing Smith’s strength as a soloist. Smith’s lines are soulful and patiently phrased, jutting out between each daring moment of silence. On Sun Beans of Shimmering Light, these experienced players carry on a legacy of experimental music and boundless creativity that started so many decades ago. That Smith continues to present music from the very cutting edge of jazz and improvised music after so many years of challenging the genre’s conventions is an impressive and inspiring feat. "" - John Morrison, Bandcamp Daily",Astral Spirits,https://smithewartreed.bandcamp.com/album/sun-beans-of-shimmering-light,https://soundcloud.com/user-861231864/sets/wadada-leo-smith-douglas-r-ewart-mike-reed-sun-beans-of-shimmering-light/s-raIKOhILvM7
Chris Williams & Patrick Shiroishi,Sans Soleil,"...but more importantly Sans Soleil comes across less as a trumpet/saxophone duo album and more in line with the sounds of Art Ensemble of Chicago or other forward thinking ""sound"" ensembles.  Synthesizers, glockenspeil and many other objects interject as foreground and background sounds through the entirety of the album. Coming in at over 60 minutes (including the digital bonus track) there is a lot of music to digest here on Sans Soleil, and that might be the best part of all. Both Williams & Shiroishi spent plenty of time working through their respective arsenals of instruments - Williams on Trumpet, Cornet, Flugelhorn and more and Shiroishi on Alto, Tenor, Bari, Soprano & Sopranino saxophones as well as Clarinet and more. ",Astral Spirits,https://williamsshiroishi.bandcamp.com/album/sans-soleil,https://soundcloud.com/user-861231864/sets/chris-williams-patrick-shiroishi-sans-soleil/s-25CNGZjZJjK
[Ahmed],Nights on Saturn (communication),"""The music does have a hypnotic appeal, particularly when all four musicians succumb fully to the piece's over-the-top mania. Even the most hair-raising moments of Super Majnoon don't reach the volcanic amplitude on display here. The live setting enhances the effect, and the crowd's enthusiastic responses are well-captured throughout the recording. While some listeners may desire a bit more dynamic contrast, or occasionally tire of the essentially iterative quality of the music, there is a fascinating aspect to hearing Wright and Thomas explore and interrogate the figures they conjure—at times seemingly trying to beat them into submission—while seeking even more ecstatic heights. For its sheer cathartic power, Nights on Saturn is indeed an accomplishment."" Troy Dostert, All About Jazz",Astral Spirits,https://astralahmed.bandcamp.com/album/nights-on-saturn-communication,https://soundcloud.com/user-861231864/ahmed-nights-on-saturn-communication-01-nights-on-saturn-communication/s-s9r54tsn17l
Kuzu,The Glass Delusion,"""Kuzu recordings are highly instinctual and intuitional; the same can be said about any quality improv music unit. Where Kuzu makes its mark is that each of its members, Dave Rempis (saxes), Tashi Dorji (guitar) and Tyler Damon (drums), are highly individualistic musicians who play their instruments well outside the bounds of conformity. There are sounds you don’t often hear from each of these instruments and even less so as a group. Add to that their penchant for zigging when you expect them to zag, and it all adds up to adventurous and rewarding listening experience."" - S. Victor Aaron, Something Else! Reviews",Astral Spirits,https://rempisdorjidamon.bandcamp.com/album/the-glass-delusion,https://soundcloud.com/user-861231864/sets/kuzu-the-glass-delusion/s-LzOXR0USwAl
Michael Foster & Ben Bennett,Contractions,"""The intimate yet stormy duet feature both Foster and Bennett all over their instruments, pushing themselves and their instruments sonic ranges into the most extreme terrains. Foster talks and shouts through the saxes mouthpieces and often uses his instruments as percussive instruments in addition to his strong rhythmic articulation while Bennett blows on his membranes as if there were reeds instruments. Both have developed such a close affinity that they can shift the level of intensity and energy within a second or instantly alternate between a muscular, roaring blow-out and an abstract, almost silent sonic searches. There is a sense of thematic development to Foster and Bennett performance as both communicate a kind of story full of hair-raising adventures and wild twists that demands a certain showmanship. No doubt, these two hard-working improvisers know how to keep their audience alert and attentive."" - Eyal Hareuveni, Salt Peanuts",Astral Spirits,https://fosterbennett.bandcamp.com/album/contractions-2,https://soundcloud.com/user-861231864/sets/michael-foster-ben-bennett-contractions/s-Rjp06xPHbFW
Amirtha Kidambi & Matteo Liberatore,Neutral Love,"""This time, we’re shifting across to Twitter so The Wire editor Derek Walmsley can make a recommendation – ‘Neutral Love’ by Amirtha Kidambi & Matteo Liberatore. Derek writes, “I absolutely love this” and I can understand why. It’s absolutely enveloping, gorgeous, strung out with dissonance and texture and a silence all the more eloquent for the occasional disruption and distortion. Or, Avant Music News puts it, “Kidambi eschews singing for drones, mouth and throat noises, and plaintive tones, unbending in her lack of orthodoxy. Liberatore provides his own drones as well as long-held notes and dissonant chords on an undistorted electric guitar. While only voice and guitar are credited, a certain amount of processing may be present as well.“"" - Everett True",Astral Editions,https://aeneutrallove.bandcamp.com/album/neutral-love,https://soundcloud.com/user-861231864/sets/amirtha-kidambi-matteo-liberatore-neutral-love/s-xaPrDti4Upg
Landon Caldwell & Nick Yeck-Stauffer,Unity in Isolation,"""And what I’m feeling right now in an immense drifting sensation, lost in the trance of Landon Caldwell’s organ drone and synthesizer keys; it’s a deviously simple ambient core you can imagine. Completely ruling side A, the seventeen minute suite, “Ugly Connection,” finds Nick Yeck-Stuaffer swirling through the ambience with his otherworldly pocket trumpet blasts. The two Crazy Doberman members had some of the most notable moments on Illusory Expansion from last year — in fact, I’m quite certain Staffer’s trumpet is the opening note! Here though, they really chew the scenery and spread out like the ocean floor. Caldwell’s hypnotic keys try to stay locked into a reverent melody as Stauffer’s trumpet playing reaches its most punchdrunk at the suite’s climax. Nevertheless, there is a featherweight unison between the gentlemen."" - Matty McPherson, Tabs Out",Astral Editions,https://caldwellyeck-stauffer.bandcamp.com/album/unity-in-isolation,https://soundcloud.com/user-861231864/sets/landon-caldwell-nick-yeck-stauffer-unity-in-isolation/s-f2j9FIL6XKH
Andrew Weathers,Recordings With Guitar,"All tracks performed by Andrew Weathers on electric guitar, field recordings, organ. Recorded on December 11, 2019 by Adam Hirsch at The Creek, Oakland, CA, occupied Chochenyo Ohlone land. Most field recordings were made by Andrew Weathers between 2009 and 2019, some recordings were made by Harvey Day and Lindsay Keast. Mixed & Mastered by Andrew Weathers at Wind Tide, Littlefield, TX, occupied Comanche land.",Astral Editions,https://astralweathers.bandcamp.com/album/recordings-with-guitar,https://soundcloud.com/user-861231864/sets/andrew-weathers-recordings-with-guitar/s-IDkVCirDlCM
Apathist!,Swallowing Spiders,Apathist! is the St. Louis-based duo of Alex Cunningham (violin) & Chris Trull (guitar).,Astral Editions,https://astralapathist.bandcamp.com/album/swallowing-spiders,https://soundcloud.com/user-861231864/sets/apathist-swallowing-spiders/s-1QHDIyRZm01
